REGLAS DE GOBIERNO DE DATOS;;;;;;;;;;;;
;;;;;;;;;;;;
Ejemplo:;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente principal de clasificación:;k_sc_codigo_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente técnica de soporte:;ka_ni_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
NA:;obsoleto / excluido;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ARKETOPS:;control fiscal histórico;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ka_ni_fuente;sc_nombre_fuente;k_sc_codigo_fuente;CLASIFICACION CASTILLITOS;;UNIDAD;TIPO;IMPACTA VENTAS;IMPACTA COBROS;VISIBLE;ACTIVO;HISTORIAL;OBSERVACION
139;NOTA CREDITO ELECTRONICA;NC;OFICIAL;NOTAS EMPRESA;EMPRESA;AJUSTE FINANCIERO;SI (-);NO;SI;SI;NO;Reduce facturación F1, no representa ingreso
156;BONOS;BN;OFICIAL;;;;NO;NO;;;;CUANDO VENDEN BONOS REGALO REGISTRAN X ACA
157;DESGLOSE DE MERCANCIA;DS;OFICIAL;;;;NO;NO;;;;ES UN MOVIMIENTO INTERNO EN CUESTION DE INVENTARIO
158;DOC SOPORTE ELECTRONICO GASTO;DE;OFICIAL;;;;NO;NO;;;;SE USA PARA CAUSAR GASTOS OFICIALES Q N O TRAEN SOPORTE 
163;DOC SOPORTE ELECTRONICO ;T3;OFICIAL;;;;NO;NO;;;;SE USA PARA CAUSAR GASTOS OFICIALES Q N O TRAEN SOPORTE 
170;NOTA CREDITO ELECTRONICA;ND;OFICIAL;NOTAS EMPRESA;;;NO;SI  ;;;;SE UTILIZA PARA EMITIR LOS DECUENTOS FINANCIEROS Q APLICAN LOS CLIENTES A LA HORA DEL PAGO DE FACTURAS
171;NOTA CREDITO ELECTRONICA;NF;OFICIAL;NOTAS EMPRESA;;;SI;NO;;;;SE UTILIZA PARA LAS NOTAS CREDITO DE LAS DEVOLUCIONES DE CLIENTES
174;RECIBO DE CAJA CENTRO;RC;OFICIAL;RECIBOS CENTRO;;;;;;;;RECIBO DE CAJA QUE SE GENERA AL RECIBIR ABONOS DE SISTECREDITO EN LAS TIENDAS SIRVE CONMO INFORMATIVO, AFECTA EL EFECTIVO DE LAS TIENDAS EN ELK MOMENTO DEL RECAUDO Y SE CONCILIA A FIN DE MES CON SISTECREDITO
175;FACTURACIÓN ELECTRÓNICA SANDIE;FD;OFICIAL;FACTURA SAN DIEGO ALMACEN;;;SI;NO;;;;
176;FACTURA ELECTRÓNICA CENTRO;FC;OFICIAL;FACTURA CENTRO ALMACEN;;;SI;NO;;;;
177;FACTURACIÓN ELECTRÓNICA GRAN P;FG;OFICIAL;FACTURA GRAN PLAZA ALMACEN;;;SI;NO;;;;
178;RECIBO DE CAJA GRAN PLAZA;RG;OFICIAL;RECIBOS GRAN PLAZA;;;;;;;;RECIBO DE CAJA QUE SE GENERA AL RECIBIR ABONOS DE SISTECREDITO EN LAS TIENDAS SIRVE CONMO INFORMATIVO, AFECTA EL EFECTIVO DE LAS TIENDAS EN ELK MOMENTO DEL RECAUDO Y SE CONCILIA A FIN DE MES CON SISTECREDITO
194;FACTURA ELECTRÓNICA CALDAS;FA;OFICIAL;FACTURA CALDAS ALMACEN;;;SI;NO;;;;
196;NOTA CRÉDITO ELECTRÓNICA CALDA;NA;OFICIAL;NOTA CREDITO CALDAS;;;SI;NO;;;;NOTAS CREDITO DE ALMACEN DEV CLIENTES
197;NOTA CRÉDITO ELECTRÓNICA G PLA;NG;OFICIAL;NOTA CREDITO GRAN PLAZA;;;SI;NO;;;;NOTAS CREDITO DE ALMACEN DEV CLIENTES
198;RECIBO DE CAJA CALDAS;RA;OFICIAL;RECIBOS CALDAS;;;;;;;;RECIBO DE CAJA QUE SE GENERA AL RECIBIR ABONOS DE SISTECREDITO EN LAS TIENDAS SIRVE CONMO INFORMATIVO, AFECTA EL EFECTIVO DE LAS TIENDAS EN ELK MOMENTO DEL RECAUDO Y SE CONCILIA A FIN DE MES CON SISTECREDITO
